ID,date,away,home,location,url
2021-06-19-PIT-PHI,2021-06-19,Pittsburgh Thunderbirds,Philadelphia Phoenix,South Philadelphia Super Site,https://theaudl.com/stats/game/2021-06-19-PIT-PHI
2021-06-19-LA-AUS,2021-06-19,Los Angeles Aviators,Austin Sol,Chaparral Stadium,https://theaudl.com/stats/game/2021-06-19-LA-AUS
2021-06-20-SD-SEA,2021-06-20,San Diego Growlers,Seattle Cascades,Seattle Memorial Stadium,https://theaudl.com/stats/game/2021-06-20-SD-SEA
2021-06-20-IND-MAD,2021-06-20,Indianapolis AlleyCats,Madison Radicals,Breese Stevens Field,https://theaudl.com/stats/game/2021-06-20-IND-MAD
2021-06-25-DAL-LA,2021-06-25,Dallas Roughnecks,Los Angeles Aviators,LA Southwest College,https://theaudl.com/stats/game/2021-06-25-DAL-LA
2021-06-25-TB-BOS,2021-06-25,Tampa Bay Cannons,Boston Glory,Hormel Stadium,https://theaudl.com/stats/game/2021-06-25-TB-BOS
2021-06-25-PHI-RAL,2021-06-25,Philadelphia Phoenix,Raleigh Flyers,Durham County Stadium,https://theaudl.com/stats/game/2021-06-25-PHI-RAL
2021-06-25-AUS-SEA,2021-06-25,Austin Sol,Seattle Cascades,Seattle Memorial Stadium,https://theaudl.com/stats/game/2021-06-25-AUS-SEA
2021-06-26-DET-MIN,2021-06-26,Detroit Mechanix,Minnesota Wind Chill,Sea Foam Stadium,https://theaudl.com/stats/game/2021-06-26-DET-MIN
2021-06-26-AUS-SJ,2021-06-26,Austin Sol,San Jose Spiders, Oakland Technical High School,https://theaudl.com/stats/game/2021-06-26-AUS-SJ
2021-06-26-DAL-SD,2021-06-26,Dallas Roughnecks,San Diego Growlers,Torrey Pines HS,https://theaudl.com/stats/game/2021-06-26-DAL-SD
2021-06-26-PHI-ATL,2021-06-26,Philadelphia Phoenix,Atlanta Hustle,St Pius HS Field,https://theaudl.com/stats/game/2021-06-26-PHI-ATL
2021-06-26-TB-NY,2021-06-26,Tampa Bay Cannons,New York Empire,Joseph F. Fosina Field,https://theaudl.com/stats/game/2021-06-26-TB-NY
2021-06-26-CHI-IND,2021-06-26,Chicago Union,Indianapolis AlleyCats,Grand Park,https://theaudl.com/stats/game/2021-06-26-CHI-IND
2021-06-27-DET-MAD,2021-06-27,Detroit Mechanix,Madison Radicals,Breese Stevens Field,https://theaudl.com/stats/game/2021-06-27-DET-MAD
2021-07-02-MAD-CHI,2021-07-02,Madison Radicals,Chicago Union,Langhorst Field,https://theaudl.com/stats/game/2021-07-02-MAD-CHI
2021-07-02-SEA-AUS,2021-07-02,Seattle Cascades,Austin Sol,Chaparral Stadium,https://theaudl.com/stats/game/2021-07-02-SEA-AUS
2021-07-02-NY-DC,2021-07-02,New York Empire,DC Breeze,"Carlini Field, Catholic U",https://theaudl.com/stats/game/2021-07-02-NY-DC
