Player,Team,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Joey Huppert,San Diego Growlers,3,0,0.0,0,0.0,1,0.33,0,0.0,2,0.67,66.7,17,5.67,0,0,0,0
Reggie Sung,San Diego Growlers,7,0,0.0,0,0.0,0,0.0,-2,-0.29,12,1.71,85.7,61,8.71,0,0,0,0
Henry Fisher,Raleigh Flyers,9,43,4.78,14,1.56,1,0.11,55,6.11,173,19.22,98.3,193,21.44,0,0,0,0
Jonathan Nethercutt,Raleigh Flyers,2,0,0.0,10,5.0,2,1.0,11,5.5,50,25.0,98.0,53,26.5,0,0,0,0
Jacob Fairfax,Raleigh Flyers,13,31,2.38,41,3.15,8,0.62,65,5.0,189,14.54,94.0,296,22.77,0,0,0,0
Mischa Freystaetter,Raleigh Flyers,9,21,2.33,18,2.0,4,0.44,40,4.44,147,16.33,98.0,195,21.67,0,0,0,0
Bobby Ley,Raleigh Flyers,7,13,1.86,27,3.86,4,0.57,31,4.43,298,42.57,95.8,177,25.29,0,0,0,0
Terrence Mitchell,Raleigh Flyers,13,40,3.08,14,1.08,5,0.38,47,3.62,143,11.0,94.7,247,19.0,0,0,0,0
Noah Saul,Raleigh Flyers,9,10,1.11,27,3.0,1,0.11,28,3.11,396,44.0,97.5,216,24.0,0,0,0,0
David Richardson,Raleigh Flyers,10,6,0.6,3,0.3,17,1.7,25,2.5,17,1.7,94.4,172,17.2,0,0,0,0
Allan Laviolette,Raleigh Flyers,11,24,2.18,21,1.91,4,0.36,27,2.45,215,19.55,91.5,238,21.64,0,0,0,0
Joey Cretella,Raleigh Flyers,5,4,0.8,5,1.0,6,1.2,12,2.4,43,8.6,95.6,94,18.8,0,0,0,0
Josh Hartzog,Raleigh Flyers,11,16,1.45,8,0.73,5,0.45,26,2.36,37,3.36,92.5,195,17.73,0,0,0,0
Tim McAllister,Raleigh Flyers,8,4,0.5,10,1.25,7,0.88,17,2.13,42,5.25,93.3,156,19.5,0,0,0,0
Jordan Perry,Raleigh Flyers,4,0,0.0,6,1.5,2,0.5,7,1.75,39,9.75,97.5,59,14.75,0,0,0,0
Kamron Daftari,Raleigh Flyers,4,4,1.0,0,0.0,4,1.0,7,1.75,8,2.0,88.9,46,11.5,0,0,0,0
Sol Yanuck,Raleigh Flyers,9,2,0.22,12,1.33,9,1.0,15,1.67,168,18.67,95.5,171,19.0,0,0,0,0
Shane Sisco,Raleigh Flyers,6,6,1.0,2,0.33,2,0.33,9,1.5,15,2.5,93.8,83,13.83,0,0,0,0
Mike Pannone,Raleigh Flyers,3,2,0.67,1,0.33,1,0.33,4,1.33,3,1.0,100.0,39,13.0,0,0,0,0
Chuck Cantone,Raleigh Flyers,10,4,0.4,4,0.4,6,0.6,13,1.3,46,4.6,97.9,127,12.7,0,0,0,0
Jakeem Polk,Raleigh Flyers,6,2,0.33,0,0.0,5,0.83,7,1.17,10,1.67,100.0,64,10.67,0,0,0,0
Eric Taylor,Raleigh Flyers,8,6,0.75,25,3.13,3,0.38,8,1.0,448,56.0,95.3,208,26.0,0,0,0,0
Tristan Green,Raleigh Flyers,4,1,0.25,6,1.5,0,0.0,4,1.0,28,7.0,90.3,64,16.0,0,0,0,0
Ross Ward,Raleigh Flyers,9,3,0.33,3,0.33,4,0.44,9,1.0,20,2.22,95.2,110,12.22,0,0,0,0
Charlie Muniz,Raleigh Flyers,9,11,1.22,2,0.22,3,0.33,9,1.0,125,13.89,96.9,136,15.11,0,0,0,0
Justin Allen,Raleigh Flyers,6,5,0.83,2,0.33,5,0.83,6,1.0,22,3.67,78.6,91,15.17,0,0,0,0
Johnnie Lynch,Raleigh Flyers,4,2,0.5,2,0.5,1,0.25,4,1.0,4,1.0,100.0,35,8.75,0,0,0,0
JD Hastings,Raleigh Flyers,10,2,0.2,7,0.7,3,0.3,8,0.8,63,6.3,95.5,148,14.8,0,0,0,0
Grayson Sanner,Raleigh Flyers,4,4,1.0,1,0.25,1,0.25,3,0.75,17,4.25,85.0,52,13.0,0,0,0,0
Kiron Allen,Raleigh Flyers,9,9,1.0,3,0.33,0,0.0,6,0.67,212,23.56,98.1,157,17.44,0,0,0,0
Jeff Nordgren,Raleigh Flyers,10,3,0.3,3,0.3,6,0.6,6,0.6,37,3.7,88.1,149,14.9,0,0,0,0
Andrew McKelvey,Raleigh Flyers,9,7,0.78,2,0.22,3,0.33,5,0.56,22,2.44,78.6,86,9.56,0,0,0,0
Vikram Sethuraman,Raleigh Flyers,5,1,0.2,1,0.2,1,0.2,2,0.4,6,1.2,85.7,68,13.6,0,0,0,0
Jacob Mouw,Raleigh Flyers,8,2,0.25,4,0.5,0,0.0,1,0.13,38,4.75,90.5,85,10.63,0,0,0,0
Sam Gabrielson,Raleigh Flyers,2,1,0.5,0,0.0,0,0.0,0,0.0,12,6.0,92.3,24,12.0,0,0,0,0
Andrew Cohen,Raleigh Flyers,4,0,0.0,4,1.0,0,0.0,-1,-0.25,89,22.25,94.7,60,15.0,0,0,0,0
Connor Russell,Raleigh Flyers,4,4,1.0,1,0.25,1,0.25,-2,-0.5,15,3.75,65.2,54,13.5,0,0,0,0
Carson Wilder,Dallas Roughnecks,13,41,3.15,31,2.38,8,0.62,66,5.08,173,13.31,92.5,273,21.0,394,30,174,13
Abe Coffin,Dallas Roughnecks,14,23,1.64,49,3.5,9,0.64,63,4.5,424,30.29,96.1,284,20.29,166,12,436,31
Jay Froude,Dallas Roughnecks,13,29,2.23,29,2.23,13,1.0,54,4.15,140,10.77,92.1,256,19.69,0,0,0,0
Dalton Smith,Dallas Roughnecks,10,26,2.6,22,2.2,7,0.7,41,4.1,398,39.8,97.3,226,22.6,166,17,315,32
Matt Jackson,Dallas Roughnecks,1,3,3.0,0,0.0,4,4.0,4,4.0,23,23.0,88.5,20,20.0,0,0,0,0
Jonathan Costello,Dallas Roughnecks,1,0,0.0,2,2.0,1,1.0,3,3.0,4,4.0,100.0,13,13.0,0,0,0,0
Thomas Slack,Dallas Roughnecks,11,20,1.82,17,1.55,4,0.36,30,2.73,154,14.0,95.7,218,19.82,170,15,82,7
Kevin Richardson,Dallas Roughnecks,9,18,2.0,7,0.78,4,0.44,24,2.67,226,25.11,98.7,188,20.89,175,19,38,4
Connor Olson,Dallas Roughnecks,13,23,1.77,13,1.0,9,0.69,32,2.46,206,15.85,94.5,228,17.54,230,18,162,12
Zach Riggins,Dallas Roughnecks,5,5,1.0,4,0.8,1,0.2,9,1.8,23,4.6,100.0,60,12.0,0,0,0,0
Kaplan Maurer,Dallas Roughnecks,15,17,1.13,18,1.2,7,0.47,26,1.73,187,12.47,93.0,276,18.4,38,3,12,1
Chris Larberg,Dallas Roughnecks,10,13,1.3,1,0.1,5,0.5,17,1.7,32,3.2,97.0,136,13.6,17,2,11,1
Ben Lewis,Dallas Roughnecks,13,10,0.77,1,0.08,13,1.0,22,1.69,27,2.08,93.1,178,13.69,0,0,0,0
Kai Marshall,Dallas Roughnecks,14,12,0.86,12,0.86,24,1.71,21,1.5,145,10.36,87.3,279,19.93,31,2,12,1
Casey Hogg,Dallas Roughnecks,2,0,0.0,2,1.0,1,0.5,3,1.5,8,4.0,100.0,27,13.5,0,0,0,0
Dillon Larberg,Dallas Roughnecks,12,3,0.25,32,2.67,17,1.42,17,1.42,193,16.08,85.0,239,19.92,-33,-3,69,6
Wesley Miaw,Dallas Roughnecks,8,7,0.88,3,0.38,4,0.5,11,1.38,42,5.25,93.3,106,13.25,0,0,0,0
Daniel Emmons,Dallas Roughnecks,13,5,0.38,6,0.46,11,0.85,17,1.31,29,2.23,90.6,173,13.31,0,0,0,0
Zach Marbach,Dallas Roughnecks,10,8,0.8,3,0.3,7,0.7,13,1.3,27,2.7,90.0,140,14.0,57,6,-6,-1
Griffin Miller,Dallas Roughnecks,12,8,0.67,5,0.42,8,0.67,15,1.25,43,3.58,91.5,157,13.08,-6,-1,7,1
Ben Rogers,Dallas Roughnecks,8,5,0.63,2,0.25,3,0.38,9,1.13,26,3.25,100.0,84,10.5,13,2,-3,0
Henry Furuta,Dallas Roughnecks,13,12,0.92,13,1.0,1,0.08,14,1.08,377,29.0,97.7,240,18.46,93,7,188,14
Gabriel Hernandez,Dallas Roughnecks,11,5,0.45,8,0.73,5,0.45,11,1.0,106,9.64,94.6,172,15.64,18,2,58,5
Sam Ward,Dallas Roughnecks,6,3,0.5,4,0.67,1,0.17,6,1.0,19,3.17,90.5,80,13.33,0,0,0,0
Matthew Armour,Dallas Roughnecks,9,4,0.44,2,0.22,5,0.56,9,1.0,30,3.33,93.8,116,12.89,0,0,0,0
David Hammer,Dallas Roughnecks,1,1,1.0,0,0.0,0,0.0,1,1.0,1,1.0,100.0,11,11.0,0,0,0,0
Joel Clutton,Dallas Roughnecks,10,2,0.2,0,0.0,8,0.8,8,0.8,16,1.6,94.1,136,13.6,0,0,0,0
Connor Ughetta,Dallas Roughnecks,7,2,0.29,3,0.43,3,0.43,5,0.71,37,5.29,92.5,99,14.14,0,0,0,0
Alex Brouwer,Dallas Roughnecks,7,3,0.43,0,0.0,1,0.14,3,0.43,5,0.71,100.0,45,6.43,0,0,0,0
Abe Gambert,Dallas Roughnecks,7,1,0.14,0,0.0,4,0.57,2,0.29,37,5.29,92.5,71,10.14,0,0,0,0
Brandon Malecek,Dallas Roughnecks,12,9,0.75,24,2.0,2,0.17,1,0.08,365,30.42,91.5,225,18.75,0,0,0,0
Noah Chambers,Dallas Roughnecks,3,0,0.0,0,0.0,3,1.0,0,0.0,15,5.0,83.3,37,12.33,0,0,0,0
Jake Reinhardt,Dallas Roughnecks,9,2,0.22,2,0.22,9,1.0,0,0.0,57,6.33,83.8,147,16.33,22,2,-3,0
Brian Street,Dallas Roughnecks,7,0,0.0,1,0.14,0,0.0,0,0.0,10,1.43,90.9,30,4.29,0,0,0,0
Stephen Poulos,Dallas Roughnecks,5,0,0.0,2,0.4,0,0.0,-7,-1.4,35,7.0,83.3,55,11.0,0,0,0,0
Max Sheppard,Pittsburgh Thunderbirds,14,61,4.36,68,4.86,9,0.64,103,7.36,295,21.07,91.0,337,24.07,0,0,0,0
Thomas Edmonds,Pittsburgh Thunderbirds,12,32,2.67,43,3.58,5,0.42,54,4.5,670,55.83,96.5,250,20.83,0,0,0,0
Jimmy Towle,Pittsburgh Thunderbirds,13,30,2.31,13,1.0,10,0.77,39,3.0,164,12.62,94.8,257,19.77,0,0,0,0
Mark Fedorenko,Pittsburgh Thunderbirds,11,15,1.36,15,1.36,9,0.82,29,2.64,201,18.27,97.1,202,18.36,0,0,0,0
Anson Reppermund,Pittsburgh Thunderbirds,14,12,0.86,12,0.86,26,1.86,36,2.57,75,5.36,85.2,277,19.79,0,0,0,0
Dylan Best,Pittsburgh Thunderbirds,11,22,2.0,17,1.55,0,0.0,23,2.09,264,24.0,95.0,231,21.0,0,0,0,0
Alex Thomas,Pittsburgh Thunderbirds,13,15,1.15,6,0.46,12,0.92,25,1.92,70,5.38,94.6,222,17.08,0,0,0,0
Sam VanDusen,Pittsburgh Thunderbirds,12,8,0.67,43,3.58,10,0.83,23,1.92,251,20.92,87.8,326,27.17,0,0,0,0
Robert Halvorsen,Pittsburgh Thunderbirds,6,8,1.33,0,0.0,4,0.67,11,1.83,10,1.67,100.0,72,12.0,0,0,0,0
Owen Watt,Pittsburgh Thunderbirds,13,13,1.0,16,1.23,8,0.62,22,1.69,103,7.92,88.0,222,17.08,0,0,0,0
David Vatz,Pittsburgh Thunderbirds,8,17,2.13,0,0.0,0,0.0,13,1.63,66,8.25,97.1,138,17.25,0,0,0,0
Kenny Furdella,Pittsburgh Thunderbirds,10,9,0.9,11,1.1,2,0.2,16,1.6,217,21.7,98.2,207,20.7,0,0,0,0
Tyler DeGirolamo,Pittsburgh Thunderbirds,2,0,0.0,3,1.5,2,1.0,3,1.5,35,17.5,97.2,34,17.0,0,0,0,0
Chris Graber,Pittsburgh Thunderbirds,12,16,1.33,3,0.25,1,0.08,17,1.42,35,2.92,97.2,186,15.5,0,0,0,0
Jordan Robarge,Pittsburgh Thunderbirds,5,2,0.4,3,0.6,2,0.4,6,1.2,15,3.0,93.8,47,9.4,0,0,0,0
Nick Gigliotti,Pittsburgh Thunderbirds,8,5,0.63,5,0.63,3,0.38,9,1.13,44,5.5,93.6,124,15.5,0,0,0,0
Jack Hefferon,Pittsburgh Thunderbirds,9,2,0.22,0,0.0,7,0.78,9,1.0,13,1.44,100.0,125,13.89,0,0,0,0
Jesse Evans,Pittsburgh Thunderbirds,2,1,0.5,0,0.0,1,0.5,2,1.0,3,1.5,100.0,20,10.0,0,0,0,0
Adam Burgess,Pittsburgh Thunderbirds,11,4,0.36,8,0.73,7,0.64,10,0.91,116,10.55,93.5,158,14.36,0,0,0,0
Dayne Meyer,Pittsburgh Thunderbirds,12,2,0.17,3,0.25,5,0.42,8,0.67,31,2.58,96.9,121,10.08,0,0,0,0
Jonathan Mast,Pittsburgh Thunderbirds,14,6,0.43,21,1.5,4,0.29,9,0.64,639,45.64,96.7,288,20.57,0,0,0,0
Jasper Tom,Pittsburgh Thunderbirds,5,2,0.4,1,0.2,1,0.2,3,0.6,42,8.4,97.7,70,14.0,0,0,0,0
John Buss,Pittsburgh Thunderbirds,6,2,0.33,0,0.0,2,0.33,3,0.5,14,2.33,100.0,48,8.0,0,0,0,0
Donald Robinson,Pittsburgh Thunderbirds,2,0,0.0,0,0.0,1,0.5,1,0.5,1,0.5,100.0,19,9.5,0,0,0,0
Andrew Gardner,Pittsburgh Thunderbirds,2,0,0.0,0,0.0,1,0.5,1,0.5,2,1.0,100.0,15,7.5,0,0,0,0
Marquis Cofer,Pittsburgh Thunderbirds,10,3,0.3,1,0.1,3,0.3,4,0.4,9,0.9,81.8,91,9.1,0,0,0,0
Eike Cramer,Pittsburgh Thunderbirds,9,3,0.33,0,0.0,1,0.11,3,0.33,22,2.44,100.0,107,11.89,0,0,0,0
Patrick McMullen,Pittsburgh Thunderbirds,13,3,0.23,4,0.31,1,0.08,3,0.23,108,8.31,97.3,197,15.15,0,0,0,0
Steve Mogielski,Pittsburgh Thunderbirds,14,5,0.36,1,0.07,4,0.29,2,0.14,33,2.36,80.5,171,12.21,0,0,0,0
Justin Kinkead,Pittsburgh Thunderbirds,2,0,0.0,0,0.0,0,0.0,0,0.0,3,1.5,100.0,14,7.0,0,0,0,0
Steve May,Pittsburgh Thunderbirds,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7,7.0,0,0,0,0
Rick Gross,Indianapolis AlleyCats,13,46,3.54,20,1.54,5,0.38,62,4.77,214,16.46,96.8,290,22.31,0,0,0,0
Keegan North,Indianapolis AlleyCats,10,28,2.8,34,3.4,5,0.5,47,4.7,303,30.3,95.0,240,24.0,0,0,0,0
Travis Carpenter,Indianapolis AlleyCats,14,18,1.29,61,4.36,14,1.0,65,4.64,558,39.86,95.4,363,25.93,0,0,0,0
Cameron Brock,Indianapolis AlleyCats,13,41,3.15,14,1.08,1,0.08,41,3.15,189,14.54,93.1,280,21.54,0,0,0,0
Levi Jacobs,Indianapolis AlleyCats,14,34,2.43,37,2.64,4,0.29,43,3.07,230,16.43,89.5,289,20.64,0,0,0,0
Keenan Plew,Indianapolis AlleyCats,13,23,1.77,22,1.69,1,0.08,33,2.54,549,42.23,97.9,280,21.54,0,0,0,0
Alex Henderson,Indianapolis AlleyCats,12,16,1.33,20,1.67,8,0.67,28,2.33,297,24.75,95.2,256,21.33,0,0,0,0
David Hortemiller,Indianapolis AlleyCats,12,18,1.5,4,0.33,8,0.67,24,2.0,44,3.67,91.7,202,16.83,0,0,0,0
Spencer Loscar,Indianapolis AlleyCats,14,9,0.64,6,0.43,11,0.79,24,1.71,65,4.64,97.0,197,14.07,0,0,0,0
Brett Matzuka,Indianapolis AlleyCats,10,8,0.8,15,1.5,6,0.6,17,1.7,436,43.6,97.3,202,20.2,0,0,0,0
Nick Hutton,Indianapolis AlleyCats,13,3,0.23,16,1.23,16,1.23,16,1.23,80,6.15,84.2,206,15.85,0,0,0,0
Jacob Fella,Indianapolis AlleyCats,9,6,0.67,1,0.11,7,0.78,9,1.0,29,3.22,90.6,140,15.56,0,0,0,0
Sam Ellison,Indianapolis AlleyCats,11,4,0.36,1,0.09,9,0.82,11,1.0,21,1.91,87.5,131,11.91,0,0,0,0
Conner Henderson,Indianapolis AlleyCats,13,4,0.31,4,0.31,9,0.69,10,0.77,101,7.77,94.4,165,12.69,0,0,0,0
Peter Carleton,Indianapolis AlleyCats,12,5,0.42,9,0.75,3,0.25,9,0.75,67,5.58,90.5,165,13.75,0,0,0,0
Heath Kalaba,Indianapolis AlleyCats,3,0,0.0,1,0.33,2,0.67,2,0.67,13,4.33,92.9,25,8.33,0,0,0,0
Christopher Miller,Indianapolis AlleyCats,5,1,0.2,0,0.0,3,0.6,3,0.6,10,2.0,90.9,59,11.8,0,0,0,0
Zach Zebarth,Indianapolis AlleyCats,11,3,0.27,2,0.18,4,0.36,5,0.45,29,2.64,87.9,96,8.73,0,0,0,0
Colin Ringwood,Indianapolis AlleyCats,12,3,0.25,0,0.0,6,0.5,3,0.25,35,2.92,89.7,110,9.17,0,0,0,0
John Jones,Indianapolis AlleyCats,11,2,0.18,0,0.0,5,0.45,2,0.18,13,1.18,81.3,94,8.55,0,0,0,0
Donovan Triplett,Indianapolis AlleyCats,12,2,0.17,4,0.33,2,0.17,2,0.17,82,6.83,93.2,157,13.08,0,0,0,0
Jeremy Keusch,Indianapolis AlleyCats,7,2,0.29,2,0.29,2,0.29,1,0.14,22,3.14,84.6,75,10.71,0,0,0,0
Aaron Weaver,Indianapolis AlleyCats,7,2,0.29,1,0.14,3,0.43,0,0.0,13,1.86,86.7,78,11.14,0,0,0,0
Colton Steiner,Indianapolis AlleyCats,4,0,0.0,0,0.0,0,0.0,0,0.0,9,2.25,100.0,38,9.5,0,0,0,0
Dustin Hughes,Indianapolis AlleyCats,6,0,0.0,0,0.0,1,0.17,0,0.0,16,2.67,100.0,69,11.5,0,0,0,0
Nathan Bussberg,Indianapolis AlleyCats,1,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,100.0,8,8.0,0,0,0,0
Kyle Cox,Indianapolis AlleyCats,11,0,0.0,4,0.36,3,0.27,-5,-0.45,117,10.64,91.4,143,13.0,0,0,0,0
Jesse Jenkins,Indianapolis AlleyCats,2,1,0.5,0,0.0,0,0.0,-1,-0.5,4,2.0,80.0,24,12.0,0,0,0,0
AJ Humbert,Indianapolis AlleyCats,1,0,0.0,0,0.0,0,0.0,-1,-1.0,2,2.0,66.7,17,17.0,0,0,0,0
Sean McDougall,Los Angeles Aviators,13,31,2.38,49,3.77,11,0.85,70,5.38,206,15.85,92.8,288,22.15,0,0,0,0
Danny Landesman,Los Angeles Aviators,10,32,3.2,13,1.3,4,0.4,44,4.4,108,10.8,97.3,174,17.4,0,0,0,0
Joc Jimenez,Los Angeles Aviators,13,42,3.23,17,1.31,9,0.69,56,4.31,132,10.15,93.6,270,20.77,0,0,0,0
Aaron Weaver,Los Angeles Aviators,11,14,1.27,22,2.0,8,0.73,37,3.36,250,22.73,97.7,238,21.64,0,0,0,0
Eric Lissner,Los Angeles Aviators,8,5,0.63,19,2.38,11,1.38,25,3.13,120,15.0,92.3,166,20.75,0,0,0,0
Tyler Bacon,Los Angeles Aviators,11,20,1.82,26,2.36,5,0.45,34,3.09,244,22.18,93.8,196,17.82,0,0,0,0
Kenrick Koo,Los Angeles Aviators,6,11,1.83,9,1.5,3,0.5,16,2.67,54,9.0,94.7,110,18.33,0,0,0,0
